Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
Poulet mariné miel & moutarde,100,g,Poulet,Boucherie,"Coupez le poulet en lanières. Dans un plat, mélangez la moutarde, le miel, l'ail haché et la sauce soja. Laissez mariner au moins une heure.

A la fin de la marinade, faites revenir dans une poêle les morceaux de poulet jusqu'à ce qu'ils soient bien cuits, assaisonnez. Servez bien chaud.","N'hésitez pas à rajouter des cacahuètes, des oignons frits ou des oignons nouveaux au poulet à la fin de la cuisson !",Calories,"185,544",kcal,,,,Vitamines C,"12,5928",mg,,,,,,,,,,,,,,,,,,,,
,1,c. à c.,Moutarde,Épicerie,,,Protéines,"29,887925",g,,Pain hamburger,50 g,Calories,"146,5",kcal,,,,,,,,,,,,,,,,,,,,
,"0,75",c. à s.,Miel,Épicerie,,,Lipides,"2,43825",g,,,,Protéines,"4,535",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,Glucides,"10,94765",g,,,,Lipides,"2,675",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Sauce soja,Épicerie,,,Calcium,"20,522375",mg,,,,Glucides,"24,85",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"0,33425",mg,,,,Calcium,"44,5",mg,,,,,,,,,,,,,,,,,,,,
Poulet satay,100,g,Poulet,Boucherie,"Découpez le poulet en petits morceaux. Mettez-les à mariner une heure minimum dans le mélange d'huile neutre et de sauce soja. A la fin de la marinade, faites-les revenir ensuite une dizaine de minutes dans une poêle.

Pendant ce temps-là, préparer la sauce en faisant chauffer la crème à feu doux, en y ajoutant le curry rouge, le sucre et le beurre de cacahuètes.

Dès que le poulet est prêt, mélangez-le à la sauce, assaisonnez et servez bien chaud.","N'hésitez pas à rajouter de vraies cacahuètes, des oignons frits ou des oignons nouveaux au poulet à la fin de la cuisson !",Calories,"390,134",kcal,,,,Vitamines C,"0,25",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile neutre,Épicerie,,,Protéines,"31,5541",g,,Saucisse fumée,150 g,Calories,450,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Sauce soja,Épicerie,,,Lipides,"26,61325",g,,,,Protéines,"28,5",g,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Glucides,"5,4904",g,,,,Lipides,"37,35",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Curry rouge,Épicerie,,,Calcium,"58,943",mg,,,,Glucides,"0,27",g,lanutrition.fr,,,,,,,,,,,,,,,,,,,
,"2,5",g,Sucre,Épicerie,,,Vitamines C,"0,257",mg,,,,Calcium,"27,45",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s.,Beurre de cacahuètes,Épicerie,,,,,,,,,Vitamines C,"25,2",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,1 c. à c. Curcuma,2 g,Calories,"5,82",kcal,,,,,,,,,,,,,,,,,,,,
Pot-au-feu,200,g,Bœuf,Boucherie,"Coupez le bœuf en lanières, puis hachez les oignons et l'ail. Faites revenir le tout rapidement dans une grande marmite avec l'huile d'olive, puis ajoutez de l'eau (environ 500 ml par personne), et laissez le tout mijoter.

Épluchez et coupez en gros morceaux tous les légumes, puis au bout d'une heure de cuisson de la viande, ajoutez-les dans la marmite. 

Une petite heure plus tard, assaisonnez et vérifiez la cuisson du tout. Servez bien chaud.

Option végétarienne : Il suffit de retirer le boeuf à la préparation.","Si votre boucher en a un, n'hésitez pas à rajouter un os à moelle dans la préparation !",Calories,"869,2875",kcal,,,,Protéines,"0,1936",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Carottes,Primeur ou producteur,,,Protéines,"49,387625",g,,,,Lipides,"0,065",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Poireaux,Primeur ou producteur,,,Lipides,"44,90175",g,,,,Glucides,"0,888",g,,,,,,,,,,,,,,,,,,,,
,1,,Pommes de terre,Primeur ou producteur,,,Glucides,"52,73375",g,,,,Calcium,"3,36",mg,,,,,,,,,,,,,,,,,,,,
,"0,1",,Choux blancs,Primeur ou producteur,,,Calcium,"887,999",mg,,,,Vitamines C,"0,014",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Navets,Primeur ou producteur,,,Vitamines C,"146,28875",mg,,Crozet au sarrasin,100 g,Calories,366,kcal,MyFitnessPal,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,,,,,,,Protéines,13,g,MyFitnessPal,,,,,,,,,,,,,,,,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,,,,,,,Lipides,3,g,MyFitnessPal,,,,,,,,,,,,,,,,,,,
,"0,5",,Bouquets garnis,Épicerie,,,,,,,,,Glucides,70,g,MyFitnessPal,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Calcium,0,mg,MyFitnessPal,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,0,mg,MyFitnessPal,,,,,,,,,,,,,,,,,,,
Croquettes de poisson ou de poulet,100,g,Poisson local ou poulet,Boucherie ou poissonnerie,"Coupez la viande en tous petits morceaux. Mélangez la viande avec le pain de mie lui-même émietté, la crème et les œufs jusqu'à ce que ce soit une pâte homogène. Assaisonnez.

Former de petites boules de pâte à la main, trempez-les dans la chapelure puis faites-les revenir dans une poêle avec un peu de matière grasse en les retournant régulièrement jusqu'à ce que la croquette soit entièrement bien dorée. Servez chaud.","N'hésitez pas servir ces croquettes avec une sauce faite maison à base de yaourt, de citron et de menthe !",Calories,"551,875",kcal,,1 Reblochon,500 g,Calories,1630,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Œufs,Épicerie,,,Protéines,"37,68975",g,,,,Protéines,102,g,,,,,,,,,,,,,,,,,,,,
,25,g,Pain rassis,Boulangerie,,,Lipides,"9,9715",g,,,,Lipides,137,g,,,,,,,,,,,,,,,,,,,,
,30,g,Chapelure,Épicerie,,,Glucides,"74,7155",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,5,ml,Crème fraîche épaisse,Épicerie,,,Calcium,"84,185",mg,,,,Calcium,2355,mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"7,31",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
Paella,100,g,Poulet,Boucherie,"Coupez le chorizo et les oignons en fines tranches et le poulet en morceaux de taille moyenne. Faites revenir le poulet dans une grande poêle avec l'huile d'olive, la moitié des oignons, le chorizo et les crevettes. Assaisonnez le tout, puis mettez-le tout dans une casserole avec les moules et les petits pois, de l'eau à hauteur, mélangez bien et faites bouillir le tout.

Dans une très grande poêle, faites chauffer le reste des oignons et le riz, et mélangez bien. Faites cuire le riz avec l'eau de cuisson des moules, jusqu'à ce qu'il soit bien cuit, puis mélangez le tout, et servez bien chaud.",N'hésitez pas à rajouter des artichauts ou du calamar dans la paella !,Calories,"543,595",kcal,,Bœuf,100 g,Calories,223,kcal,,,,,,,,,,,,,,,,,,,,
,3,,Moules,Poissonnerie,,,Protéines,"42,56",g,,,,Protéines,"19,2",g,,,,,,,,,,,,,,,,,,,,
,25,g,Chorizo,Boucherie,,,Lipides,"19,6155",g,,,,Lipides,"16,2",g,,,,,,,,,,,,,,,,,,,,
,25,g,Petits pois,Primeur ou producteur,,,Glucides,"47,351",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Calcium,"62,94275",mg,,,,Calcium,6,mg,,,,,,,,,,,,,,,,,,,,
,50,g,Riz,Épicerie,,,Vitamines C,"14,26",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,,,,,1 c. à c. Paprika,2 g,Calories,"6,38",kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,"0,282",g,,,,,,,,,,,,,,,,,,,,
Riz cantonais,50,g,Riz,Épicerie,"Faites cuire le riz, et rincez-le à l'eau froide.

Coupez le jambon en dés et émincez finement les oignons. Faites revenir l'oignon avec les petits pois et l'huile d'olive pendant 3 minutes environ. Versez le mélange dans un plat.

Battez les œufs en omelette, faites-les cuire et coupez-la en lanières.

Mélangez le riz, les petits pois, les oignons, le jambon et l'omelette dans une poêle, assaisonnez et faites chauffer 3 minutes en remuant bien. Servez bien chaud.

Option végétaroienne : Il suffit de retirer le jambon, et si vous voulez, vous pouvez le remplacer par du tofu fumé ou des champignons.",N'hésitez pas à rajouter des oignons frits ou des oignons nouveaux dans le riz à la fin de la cuisson !,Calories,"360,825",kcal,,,,Lipides,"0,258",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Protéines,"14,74",g,,,,Glucides,"0,382",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Œufs,Épicerie,,,Lipides,"12,3865",g,,,,Calcium,"4,58",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Glucides,"45,711",g,,,,Vitamines C,"0,018",mg,,,,,,,,,,,,,,,,,,,,
,1,tranches,Jambon blanc,Boucherie,,,Calcium,"68,85775",mg,,1 Moule,5 g,Calories,"3,59",kcal,,,,,,,,,,,,,,,,,,,,
,25,g,Petits pois,Primeur ou producteur,,,Vitamines C,"29,25",mg,,,,Protéines,"0,56",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"0,091",g,,,,,,,,,,,,,,,,,,,,
Rouleaux de printemps,3,,Galettes de riz,Épicerie,"Coupez en lanières le poisson et mettez-le dans un bol avec la sauce soja.

Immergez une galette de riz dans un plat d'eau chaude, remuez doucement du bout des doigts de façon à sentir lorsqu'elle sera assez souple pour être roulée. Etendez-la sur votre plan de travail, répartissez les alimentes en lignes en bout de galette. Fermez les rouleaux, en tenant compte de l'élasticité de vos galettes, n'hésitez pas à serrer tout en restant prudent au cas où la galette se déchirerait. Repliez les côtés, et mettez au frais.

Servez bien frais.

Option végétarienne : Vous pouvez retirer le poisson et le remplacer par des oeufs, des pousses de soja, du tofu ou des légumes crus.",N'hésitez pas à changer les garnitures avec des garnitures locales !,Calories,"194,926",kcal,,,,Glucides,"0,1345",g,,,,,,,,,,,,,,,,,,,,
,100,g,Poisson local,Poissonnerie,,,Protéines,"25,9239",g,,,,Calcium,"2,575",mg,,,,,,,,,,,,,,,,,,,,
,2,c. à c.,Sauce soja,Épicerie,,,Lipides,"3,359",g,,,,Vitamines C,"0,32",mg,,,,,,,,,,,,,,,,,,,,
,1,tiges,Menthe,Épicerie,,,Glucides,"14,6164",g,,Chorizo,100 g,Calories,425,kcal,,,,,,,,,,,,,,,,,,,,
,25,g,Salade verte,Primeur ou producteur,,,Calcium,"151,959",mg,,,,Protéines,"23,5",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"4,2875",mg,,,,Lipides,"36,1",g,,,,,,,,,,,,,,,,,,,,
Flammekueche au feu de bois,150,g,Pâte à pizza,Boulangerie,"Étalez le plus finement possible la pâte à pizza, et parsemez-la de crème, puis des oignons coupés en petits morceaux et des lardons. Salez légèrement et poivrez.

Mettez le tout dans un plat, couvrez et mettez sur le feu une bonne dizaine de minutes, jusqu'à ce que la pâte soit bien cuite et les lardons cuits. Servez bien chaud.

Option végétarienne : Vous pouvez retirer les lardons et les remplacer par des champignons.",Faites vous-même votre pâte à pizza et ajoutez des garnitures locales !,Calories,"1137,5",kcal,,,,Glucides,"1,24",g,,,,,,,,,,,,,,,,,,,,
,1,,Oignons,Primeur ou producteur,,,Protéines,"44,57",g,,,,Calcium,0,mg,,,,,,,,,,,,,,,,,,,,
,200,g,Lardons fumés,Boucherie,,,Lipides,"80,08",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,100,ml,Crème fraîche épaisse,Épicerie,,,Glucides,"56,465",g,,Petits pois,100 g,Calories,"67,3",kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"150,8",mg,,,,Protéines,"5,84",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"8,15",mg,,,,Lipides,"0,55",g,,,,,,,,,,,,,,,,,,,,
Pizza au feu de bois,150,g,Pâte à pizza,Boulangerie,"Versez une partie de l'huile dans un plat, et déposez dessus la pâte à pizza étalée finement, et laissez-la cuire une dizaine de minutes. Retournez-la, et mettez dessus la sauce tomate, le fromage, la basilic et l'huile d'olive restante. Laissez cuire jusqu'à ce que le fromage soit bien fondu, et servez bien chaud.","Faites vous-même votre pâte à pizza, votre sauce tomate et ajoutez des garnitures locales !",Calories,"711,915",kcal,,,,Glucides,7,g,,,,,,,,,,,,,,,,,,,,
,75,g,Sauce tomate,Primeur ou producteur,,,Protéines,"29,5065",g,,,,Calcium,"27,5",mg,,,,,,,,,,,,,,,,,,,,
,75,g,Fromage râpé,Fromagerie,,,Lipides,"43,07025",g,,,,Vitamines C,"41,5",mg,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Glucides,"50,15875",g,,Pâte à pizza,100 g,Calories,240,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",tiges,Basilic,Épicerie,,,Calcium,"773,4105",mg,,,,Protéines,"7,05",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"5,55",mg,,,,Lipides,"3,45",g,,,,,,,,,,,,,,,,,,,,
Croque-monsieur,4,tranches,Pain de mie,Boulangerie,"Beurrez chaque tranche de pain de mie sur une seule face. Sur l'une des tranche, sur la face non-beurrée, mettez une tranche de jambon, et la moitié du gruyère, puis refermez avec une deuxième tranche, sur la face non-beurrée. Faites de même avec le reste des ingrédients.

Dans une poêle, faites cuire les croque-monsieur 2 minutes de chaque côté, pour que le fromage soit juste fondu. Servez bien chaud. 

Option végétarienne : Faites vos croques-monsieur avec des épinards et du fromage de chèvre.",N'hésitez pas à changer la garnitures avec des ingrédients locaux !,Calories,"622,8",kcal,,,,Glucides,"44,2",g,,,,,,,,,,,,,,,,,,,,
,5,g,Beurre,Épicerie,,,Protéines,"28,0845",g,,,,Calcium,0,mg,,,,,,,,,,,,,,,,,,,,
,2,tranches,Jambon blanc,Boucherie,,,Lipides,"18,465",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,20,g,Fromage râpé,Fromagerie,,,Glucides,"81,6925",g,,Sauce tomate,100 g,Calories,"78,8",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"398,92",mg,,,,Protéines,"1,52",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,32,mg,,,,Lipides,"4,18",g,,,,,,,,,,,,,,,,,,,,
Omelette campagnarde,"1,5",,Œufs,Épicerie,"Détaillez les champignons et les oignons en lamelles. Faites-les revenir dans une poêle sans matière grasse, puis ajoutez les lardons.

A côté, coupez-les pommes de terre en morceaux de taille moyenne, puis faites les cuire 10 bonnes minutes dans l'eau bouillante. 

Dans une grande poêle, mélangez les œufs battus en omelette, les lardons, les champignons, oignons et les pommes de terre. Assaisonnez en mélangeant bien, puis faites cuire à feu doux 5 minutes; Retournez le tout et finalisez la cuisson quelques minutes. Servez bien chaud.

Option végétarienne : Vous pouvez retirer les champignons.",N'hésitez pas à rajouter des garnitures locales dans la préparation !,Calories,"508,07",kcal,,,,Glucides,"7,69",g,,,,,,,,,,,,,,,,,,,,
,1,,Pommes de terre,Primeur ou producteur,,,Protéines,"31,639",g,,,,Calcium,"24,4",mg,,,,,,,,,,,,,,,,,,,,
,20,g,Champignons de Paris,Primeur ou producteur,,,Lipides,"32,164",g,,,,Vitamines C,"5,45",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,"20,7465",g,,1 tranche de pain de campagne ,35 g,Calories,"93,8",kcal,,,,,,,,,,,,,,,,,,,,
,100,g,Lardons fumés,Boucherie,,,Calcium,"121,576",mg,,,,Protéines,"2,8105",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"23,343",mg,,,,Lipides,"0,3255",g,,,,,,,,,,,,,,,,,,,,
Tartines,2,tranches,Pain de campagne,Boulangerie,"Découpez les aubergines, le fromage et les tomates en tranches, et disposez-les sur les tranches de pain. Faites griller ces tartines au grill sur le feu, jusqu'à ce que le fromage soit fondu. Servez bien chaud.","Les tartines peuvent être très différentes, n'hésitez pas à faire varie les garnitures en fonction de vos goûts et des produits locaux !",Calories,"457,8",kcal,,,,Glucides,"19,075",g,,,,,,,,,,,,,,,,,,,,
,1,,Tomates,Primeur ou producteur,,,Protéines,"23,411",g,,,,Calcium,"7,07",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Aubergines,Primeur ou producteur,,,Lipides,"18,921",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,50,g,Fromage de chèvre,Fromagerie,,,Glucides,"43,995",g,,Tomme fraîche,100 g,Calories,356,kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"482,83",mg,,,,Protéines,"23,9",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"18,65",mg,,,,Lipides,"29,2",g,,,,,,,,,,,,,,,,,,,,
Truffade,2,,Pommes de terre,Primeur ou producteur,"Épluchez et coupez-les pommes de terre en rondelles, et faites-les cuire 20 minutes à la vapeur.
Hachez l'ail et faites-le revenir avec les pommes de terre dans une poêle une dizaine de minutes avec un peu de matière grasse, et assaisonnez.

Ajoutez les lardons, et faites-les revenir 5 minutes de plus, puis ajoutez le fromage coupé en morceaux et laisser fondre en remuant pendant 5 à 10 minutes. Ajoutez la crème fraîche et mélangez bien pour lier le tout. Servez bien chaud.

Option végétarienne : Vous pouvez retirer les lardons et les remplacer par des oignons, des échalotes ou des champignons.",N'hésitez pas à parsemer de cornichons et à manger avec de la salade pour rendre le tout plus léger !,Calories,"729,875",kcal,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,50,g,Tomme fraîche,Fromagerie,,,Protéines,"38,63275",g,,,,Calcium,953,mg,,,,,,,,,,,,,,,,,,,,
,50,g,Cantal,Fromagerie,,,Lipides,"48,7435",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,50,g,Lardons fumés,Boucherie,,,Glucides,"31,6525",g,,Cantal ,100 g,Calories,371,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Calcium,"930,9375",mg,,,,Protéines,"26,5",g,,,,,,,,,,,,,,,,,,,,
,25,ml,Crème fraîche épaisse,Épicerie,,,Vitamines C,"38,8275",mg,,,,Lipides,"29,7",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
Fish and chips,2,,Pommes de terre,Primeur ou producteur,"Disposez la farine dans un saladier, et ajoutez-y les jaunes œufs, les blancs montés en neige et le lait en mélangeant bien. Assaisonnez et réserver la pâte à frire.

Epluchez les pommes de terre et coupez-les en segments. Les blanchir dans un bain d'huile de friture chauffé préalablement. Égouttez-les et débarrassez-les.

Coupez le poisson en gros morceaux, trempez-les dans la pâte à frire et plongez-les dans un bain d'huile de friture, et retirez-les lorsque la pâte est bien cuite, puis faites la deuxième cuisson des frites, jusqu'à ce qu'elles soient bien dorées. Servez chaud.",N'hésitez pas à faire marinez votre poisson et à ajouter des épices à vos pommes de terre avant la cuisson !,Calories,"446,25",kcal,,,,Calcium,791,mg,,,,,,,,,,,,,,,,,,,,
,100,g,Poisson local,Poissonnerie,,,Protéines,"34,3475",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"37,5",g,Farine,Épicerie,,,Lipides,"6,08025",g,,Haricots verts,100 g,Calories,31,kcal,,,,,,,,,,,,,,,,,,,,
,25,ml,Lait,Épicerie,,,Glucides,"60,1485",g,,,,Protéines,"1,85",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Œufs,Épicerie,,,Calcium,"116,965",mg,,,,Lipides,"0,21",g,,,,,,,,,,,,,,,,,,,,
,,,Huile de friture,Épicerie,,,Vitamines C,"38,5575",mg,,,,Glucides,"3,85",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,"48,5",mg,,,,,,,,,,,,,,,,,,,,
Moussaka,"62,5",g,Viande hachée,Boucherie,"Découpez les aubergines en fines tranches et faites-les dorer à la poêle 5 minutes.

A côté de ça, faites cuire la viande dans une poêle, avec l'oignon coupé en petits morceaux, l'ail haché et les tomates coupées en morceaux de taille moyenne. Assaisonnez.

Dans un plat, faites successivement des couches d'aubergine, de viande et de crème fraîche et recouvrez le tout de fromage? Couvrez, et mettez-le plat dans le braises pendant 15 bonnes minutes. Servez bien chaud.",N'hésitez pas à ajouter des épices dans la viande et à faire une béchamel maison à la place de la crème fraîche !,Calories,"503,5",kcal,,,,Vitamines C,"13,6",mg,,,,,,,,,,,,,,,,,,,,
,1,,Aubergines,Primeur ou producteur,,,Protéines,"24,005",g,,Pommes de terre grenaille,25 g,Calories,"19,15",kcal,,,,,,,,,,,,,,,,,,,,
,1,,Tomates,Primeur ou producteur,,,Lipides,"32,51",g,,,,Protéines,"0,54",g,,,,,,,,,,,,,,,,,,,,
,1,,Oignons,Primeur ou producteur,,,Glucides,"21,45",g,,,,Lipides,"0,045",g,,,,,,,,,,,,,,,,,,,,
,25,g,Fromage râpé,Fromagerie,,,Calcium,"358,065",mg,,,,Glucides,"3,8",g,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Vitamines C,"28,025",mg,,,,Calcium,"14,3",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,"18,9",mg,,,,,,,,,,,,,,,,,,,,
Haricots verts,250,g,Haricots verts,Primeur ou producteur,"Faites bouillir de l'eau sur le feu, et plongez-y les haricots verts une petite dizaine de minutes. Égouttez-les bien.

Coupez les oignons en fines lamelles, et faites les revenir 1 minute dans du beurre, puis ajoutez les haricots verts. Faites revenir le tout 5 petites minutes. Assaisonnez et servez bien chaud.",N'hésitez pas à rajouter des champignons ou des lardons avec les oignons dans la poêle !,Calories,"128,625",kcal,,Polenta,100 g,Calories,65,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Protéines,"5,076",g,,,,Protéines,"1,38",g,,,,,,,,,,,,,,,,,,,,
,5,g,Beurre,Épicerie,,,Lipides,"4,7825",g,,,,Lipides,"0,31",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Glucides,"11,99625",g,,,,Glucides,"13,5",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"131,545",mg,,,,Calcium,"5,1",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"35,4625",mg,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
Pommes de terre grenaille,5,,Pommes de terre grenaille,Primeur ou producteur,"Lavez les pommes de terre, et coupez-les en deux si elles sont trop grosses. Dans un saladier, mélangez tous les ingrédients ensemble. 

Dans un grand plat, mettez les pommes de terre et couvrez le tout, puis mettez-le dans les braises pendant une bonne vingtaine de minutes. Augmentez le temps si les pommes de terre ne sont pas cuites, mélangez régulièrement, puis enlevez le plat des braises et servez directement.","N'hésitez pas à rajouter dans le plat, à la fin de la cuisson, des oignons, des champignons ou des noix cuits à côté dans une poêle !",Calories,"206,075",kcal,,Tagliatelles fraîches,100 g,Calories,283,kcal,,,,,,,,,,,,,,,,,,,,
